patient_id,date,department,overall_rating,wait_time_rating,staff_rating,cleanliness_rating,feedback_text
P001,2024-01-03,Cardiology,5,4,5,5,The doctors and nurses were absolutely wonderful. I felt cared for and respected throughout my entire stay. Everything was explained clearly and I had no concerns.
P002,2024-01-05,Emergency,2,1,3,2,I waited over four hours in the emergency room without anyone checking on me. The waiting area was dirty and understaffed. Very disappointing experience.
P003,2024-01-07,Orthopedics,4,3,4,4,The surgical team was professional and the recovery room staff were kind. Wait times were a bit long but the care quality made up for it.
P004,2024-01-09,Pediatrics,5,5,5,5,My child was treated with such kindness. The pediatric nurses went above and beyond to make the experience less scary. Truly outstanding care.
P005,2024-01-11,Radiology,3,2,4,3,The MRI scan itself was fine but waiting over two hours for a scheduled appointment is unacceptable. Please fix the scheduling system.
P006,2024-01-13,Cardiology,1,1,2,1,Terrible experience. The doctor was rude and dismissive. The room was dirty and my concerns were completely ignored. I will not return to this hospital.
P007,2024-01-15,Emergency,4,2,5,4,The wait was long as expected in an emergency department but the nursing staff were exceptional. Very thorough and reassuring. Good overall care.
P008,2024-01-17,Oncology,5,4,5,5,My cancer treatment journey has been supported brilliantly by this team. The oncologists are world-class and I feel genuinely cared for.
P009,2024-01-19,Gynecology,4,4,4,4,Professional and respectful staff. I felt comfortable discussing sensitive issues. The appointment ran close to schedule which I appreciated.
P010,2024-01-21,Orthopedics,2,2,2,3,The physiotherapy exercises prescribed were incorrect for my condition. I had to seek a second opinion elsewhere. Billing was also confusing and overcharged me.
P011,2024-01-23,Neurology,5,5,5,5,Exceptional diagnosis and treatment plan. The neurologist took time to explain everything in detail. I left feeling confident in my care plan.
P012,2024-01-25,Emergency,3,1,4,3,Emergency rooms are always stressful but the nurses here made it bearable. Doctor seemed rushed but was competent. Long wait but understandable.
P013,2024-01-27,Cardiology,4,4,4,5,Follow-up appointment was well organised. The cardiologist reviewed all my test results thoroughly. Clean and well-maintained facilities.
P014,2024-01-29,Pediatrics,2,3,2,2,The pediatrician barely listened to my concerns about my daughter. Felt very rushed and the prescription seemed generic. Disappointed with the care.
P015,2024-02-01,Radiology,5,4,5,5,Ultra-modern scanning equipment and very professional radiologist. Results were explained clearly the same day. Excellent service.
